2026-03-22 00:51:09,403 | INFO | store.chatbot.api | chatbot_api request_id=e6fe598d8fce action=reset user_id=None session=None message_len=0
2026-03-22 00:51:09,416 | INFO | store.chatbot.api | chatbot_api reset request_id=e6fe598d8fce ok=True latency_ms=13
2026-03-22 00:51:15,580 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774115475578_8km619 action=message user_id=None session=8os10ejrrqja55aasj4g3389p1p1wp9s message_len=15
2026-03-22 00:51:19,688 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774115475578_8km619 intent=unknown source=claude engine=django_local latency_ms=4109
2026-03-22 16:55:45,046 | INFO | store.chatbot.api | chatbot_api request_id=1f069756509d action=reset user_id=42 session=xy8q1yba0et3h5vhg6bryynpat07lx59 message_len=0
2026-03-22 16:55:45,058 | INFO | store.chatbot.api | chatbot_api reset request_id=1f069756509d ok=True latency_ms=16
2026-03-22 16:55:47,277 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774173347271_xg9d4y action=message user_id=42 session=xy8q1yba0et3h5vhg6bryynpat07lx59 message_len=15
2026-03-22 16:55:52,379 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774173347271_xg9d4y intent=unknown source=claude engine=django_local latency_ms=5106
2026-03-22 17:07:58,090 | INFO | store.chatbot.api | chatbot_api request_id=70c6a7a10adb action=reset user_id=42 session=xy8q1yba0et3h5vhg6bryynpat07lx59 message_len=0
2026-03-22 17:07:58,093 | INFO | store.chatbot.api | chatbot_api reset request_id=70c6a7a10adb ok=True latency_ms=5
2026-03-22 17:08:13,154 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774174093149_trxh12 action=message user_id=42 session=xy8q1yba0et3h5vhg6bryynpat07lx59 message_len=30
2026-03-22 17:08:13,169 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774174093149_trxh12 intent=unknown source=local engine=django_local latency_ms=18
2026-03-22 17:08:38,723 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774174118718_g9t18t action=message user_id=42 session=xy8q1yba0et3h5vhg6bryynpat07lx59 message_len=85
2026-03-22 17:08:42,718 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774174118718_g9t18t intent=unknown source=local engine=django_local latency_ms=3998
2026-03-22 22:12:42,857 | INFO | store.chatbot.api | chatbot_api request_id=fb4fb8a739a1 action=reset user_id=36 session=s4vocq1uge5qawa4ex8abagkxq6rbjix message_len=0
2026-03-22 22:12:42,862 | INFO | store.chatbot.api | chatbot_api reset request_id=fb4fb8a739a1 ok=True latency_ms=7
2026-03-23 11:06:41,348 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774238801343_wpk8ce action=message user_id=45 session=kes3nuie00ir3lw58bnekzusnw5bjjh4 message_len=15
2026-03-23 11:06:47,282 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774238801343_wpk8ce intent=unknown source=claude engine=django_local latency_ms=5937
2026-03-23 11:06:51,747 | INFO | store.chatbot.api | chatbot_api request_id=qh_1774238811743_zy3fyd action=message user_id=45 session=kes3nuie00ir3lw58bnekzusnw5bjjh4 message_len=13
2026-03-23 11:06:51,752 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1774238811743_zy3fyd intent=unknown source=local engine=django_local latency_ms=8
